# curie_map:,,,,,,,,,
#   panet: http://purl.org/pan-science/PaNET/,,,,,,,,,
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#,,,,,,,,,
#   rdfs: http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,
#   skos: http://www.w3.org/2004/02/skos/core#,,,,,,,,,
#   sssom: https://w3id.org/sssom/,,,,,,,,,
#   goldbook: https://doi.org/10.1351/goldbook.,,,,,,,,,
#   orcid: https://orcid.org/,,,,,,,,,
#   semapv: https://w3id.org/semapv/vocab/,,,,,,,,,
# license: https://creativecommons.org/licenses/by/4.0/,,,,,,,,,
# mapping_set_description: Manually curated alignment of the PaNET ontology with the IUPAC goldbook.,,,,,,,,,
#   Intended to be used for ontological analysis.,,,,,,,,,
# mapping_set_id: mapping_goldbook_PaNET_v1.0,,,,,,,,,
# mapping_set_version: '2025-11-13',,,,,,,,,
# object_source: https://goldbook.iupac.org/,,,,,,,,,
# subject_source: https://expands-eu.github.io/ExPaNDS-experimental-techniques-ontology/index-en.html,,,,,,,,,
# ,,,,,,,,,
subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,object_source_version,mapping_date,confidence
panet:PaNET2012002,absorption,skos:exactMatch,goldbook:A00036,absorption,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,1
panet:PaNET01135,absorption spectroscopy,skos:relatedMatch,goldbook:A00043 ,absorption spectrum ,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,1
Panet:PaNET01268,mass spectrometry,skos:narrowMatch,goldbook:12334,angle resolved mass spectrometry ,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,1
Panet:PaNET01195,raman spectroscopy,skos:relatedMatch,goldbook:08567,anisotropic Raman scattering ,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,1
Panet:PaNET01064,versus sample temperature,skos:relatedMatch,goldbook:09447,annealing,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,1
Panet:PaNET01170,single wavelength anomalous diffraction,skos:broadMatch,goldbook:08568,anomalous dispersion,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,1
Panet:PaNET01165,multi wavelength anomalous diffraction,skos:broadMatch,goldbook:08568,anomalous dispersion,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,1
Panet:PaNET01135,absorption spectroscopy,skos:narrowMatch,goldbook:08451,atomic absorption spectroscopy,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,0.99
Panet:PaNET01092,emission spectroscopy,skos:narrowMatch,goldbook:08452,atomic emission spectroscopy,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,0.99
Panet:PaNET2020074,x-ray fluorescence,skos:relatedMatch,goldbook:A00494,atomic fluorescence ,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,0.9
Panet:PaNET01095,x-ray fluorescence spectroscopy,skos:relatedMatch,goldbook:08454,atomic fluorescence spectroscopy,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,0.9
Panet:PaNET01318,atomic force microscopy,skos:exactMatch,goldbook:09452 ,atomic force microscopy,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,1
Panet:PaNET01125,spectroscopy,skos:narrowMatch,goldbook:08216 ,atomic spectroscopy,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,0.99
Panet:PaNET01109,infrared spectroscopy,skos:narrowMatch,goldbook:09195,attenuated total reflection infrared spectroscopy,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,1
Panet:PaNET01125,spectroscopy,skos:narrowMatch,goldbook:08573,attenuated total reflection spectroscopy,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,1
Panet:PaNET01201,electron spectroscopy,skos:narrowMatch,goldbook:A00522,Auger electron spectroscopy,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,1
Panet:PaNET01201,electron spectroscopy,skos:narrowMatch,goldbook:09173,Auger photoelectron coincidence spectroscopy,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,1
Panet:PaNET2020009,x-ray,skos:exactMatch,goldbook:B00735,Bremsstrahlung,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,1
Panet:PaNET2020075,instrumentation testing,skos:narrowMatch,goldbook:C00775,calibration,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,Online version 5.0.0,2025-10-28,0.9
