PaNET Concept IRI,PaNET name,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:narrowMatch,skos:broadMatch
,,symmetric; associative mapping,symmetric; partial interchangeability,,hierarchical relationship,hierarchical relationship
http://purl.org/pan-science/PaNET/PaNET00410,medical application,,,,Imaging/Medical application,
http://purl.org/pan-science/PaNET/PaNET01006,THz photon probe,,,,Absorption/THz spectroscopy | THz high harmonic generation,
http://purl.org/pan-science/PaNET/PaNET01012,hard x-ray probe,,,,,
http://purl.org/pan-science/PaNET/PaNET01014,tender x-ray probe,,,,,
http://purl.org/pan-science/PaNET/PaNET01015,soft x-ray probe,,,,,
http://purl.org/pan-science/PaNET/PaNET01020,elastic scattering,,,Scattering/Elastic Scattering,,
http://purl.org/pan-science/PaNET/PaNET01024,coherent diffraction,,Scattering/Coherent scattering,,,
http://purl.org/pan-science/PaNET/PaNET01034,inelastic scattering,,,Scattering/Inelastic scattering,,
http://purl.org/pan-science/PaNET/PaNET01049,resonant scattering ,,,Scattering/Anomalous scattering | Scattering/Resonant scattering,,
http://purl.org/pan-science/PaNET/PaNET01052,magnetic scattering ,,,Scattering/Magnetic scattering,,
http://purl.org/pan-science/PaNET/PaNET01070,nuclear resonant scattering,,,Scattering/Nuclear resonant scattering,,
http://purl.org/pan-science/PaNET/PaNET01082,crystallography,,,Diffraction/Crystallography,,
http://purl.org/pan-science/PaNET/PaNET01089,angle resolved photoemission spectroscopy ,,,Photoelectron emission/Angular Resolved PES,,
http://purl.org/pan-science/PaNET/PaNET01093,photoemission spectroscopy ,,,Photoelectron emission,,
http://purl.org/pan-science/PaNET/PaNET01095,x-ray fluorescence spectroscopy,,Emission or Reflection/X-ray fluorescence (XRF),,,
http://purl.org/pan-science/PaNET/PaNET01101,x-ray powder diffraction,,,Diffraction/Powder diffraction,,
http://purl.org/pan-science/PaNET/PaNET01102,x-ray single crystal diffraction,,,,,Diffraction 
http://purl.org/pan-science/PaNET/PaNET01103,hard x-ray photoelectron spectroscopy,,,,,Photoelectron emission/XPS
http://purl.org/pan-science/PaNET/PaNET01109,infrared spectroscopy,,,Absorption/IR spectroscopy,,
http://purl.org/pan-science/PaNET/PaNET01112,fluorescence imaging,,,Imaging/Fluorescence imaging,,
http://purl.org/pan-science/PaNET/PaNET01113,micro XRF,,,Emission or Reflection/Micro XRF,,
http://purl.org/pan-science/PaNET/PaNET01121,reflectometry ,,,Emission or Reflection/Reflectometry,,
http://purl.org/pan-science/PaNET/PaNET01132,UV circular dichroism,,,Absorption/UVCD,,
http://purl.org/pan-science/PaNET/PaNET01136,diffraction imaging,,,,Diffraction/Topography,
http://purl.org/pan-science/PaNET/PaNET01137,x-ray magnetic circular dichroism,,,Absorption/XMCD,,
http://purl.org/pan-science/PaNET/PaNET01140,x-ray excited optical luminescence,,,Emission or Reflection/X-ray excited optical luminescence (XEOL),,
http://purl.org/pan-science/PaNET/PaNET01146,photoemission electron microscopy,,,Imaging/Photoemission EM,,
http://purl.org/pan-science/PaNET/PaNET01149,x-ray reflectivity,,,Scattering/Reflectivity,,
http://purl.org/pan-science/PaNET/PaNET01156,x-ray spectroscopy,,,,Absorption/EXAFS | Absorption/NEXAFS | Photoelectron emission/XPS,
http://purl.org/pan-science/PaNET/PaNET01160,energy dispersive x-ray diffraction,,,,,Diffraction
http://purl.org/pan-science/PaNET/PaNET01161,grazing incidence x-ray diffraction,,,,,Diffraction
http://purl.org/pan-science/PaNET/PaNET01162,grazing incidence small angle x-ray scattering,,,,,Scattering/Small angle scattering
http://purl.org/pan-science/PaNET/PaNET01164,macromolecular crystallography,,,Diffraction/Crystallography (biological macromolecules),,
http://purl.org/pan-science/PaNET/PaNET01165,multi wavelength anomalous diffraction,,,,,Scattering/Anomalous Scattering | Scattering/Resonant Scattering
http://purl.org/pan-science/PaNET/PaNET01167,photoelectron diffraction,,,,,Photoelectron emission | Diffraction
http://purl.org/pan-science/PaNET/PaNET01168,serial femtosecond crystallography,,,,,Diffraction/Crystallography | Diffraction/Time-resolved studies
http://purl.org/pan-science/PaNET/PaNET01169,serial synchrotron crystallography,,,,,Diffraction/Crystallography
http://purl.org/pan-science/PaNET/PaNET01172,surface x-ray diffraction,,,Diffraction/Surface diffraction,,
http://purl.org/pan-science/PaNET/PaNET01173,x-ray standing wave,,,,,Diffraction 
http://purl.org/pan-science/PaNET/PaNET01174,coherent diffraction imaging ,,,Imaging/Coherent diffractive imaging,,
http://purl.org/pan-science/PaNET/PaNET01178,infrared microscopy,,,Imaging/IR microscopy,,
http://purl.org/pan-science/PaNET/PaNET01180,x-ray microscopy,,,Imaging/X-ray microscopy,,
http://purl.org/pan-science/PaNET/PaNET01182,inelastic x-ray scattering,,,Scattering/Inelastic scattering,,
http://purl.org/pan-science/PaNET/PaNET01183,resonant inelastic x-ray scattering,,,,,Scattering/Inelastic scattering | Scattering/Resonant Scattering | Scattering/Anomalous Scattering
http://purl.org/pan-science/PaNET/PaNET01184,x-ray scattering,,,Scattering ,,
http://purl.org/pan-science/PaNET/PaNET01186,resonant x-ray scattering,,,Scattering/Resonant Scattering | Scattering/Anomalous Scattering,,
