,ID,Label,Alt Label 1,Alt Label 2,Definition,Definition Source,RDF Type,Class Type,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Equivalent ,Equivalent ,Individual,Property Assertions,
,ID,A rdfs:label,A http://www.w3.org/2004/02/skos/core#altLabel,A http://www.w3.org/2004/02/skos/core#altLabel,A IAO:0000115,A IAO:0000119,TYPE,CLASS_TYPE,CI,CI,CI,CI,CI,EC %,EC %,TI %,I 'hasTechnique',
,,,,,,,,,,,,,,,,,,
Base IRI,,http://purl.org/pan-science/PaNET/,,,,,,,,,,,,,,,,
Root name,,PaNET,,,,,,,,,,,,,,,,
ID number,,,,,,,,,,,,,,,,,,
1,http://purl.org/pan-science/PaNET/PaNET00001,photon and neutron technique,,,"A technique in the domain of neutron, muon and accelerator-based light sources",,owl:Class,subclass,owl:Thing,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2,http://purl.org/pan-science/PaNET/PaNET00002,defined by experimental probe,,,A technique defined by its experimental probe type,,owl:Class,subclass,photon and neutron technique,,,,,,,,,
3,http://purl.org/pan-science/PaNET/PaNET00003,defined by experimental physical process,,,A technique defined by a physical process,,owl:Class,subclass,photon and neutron technique,,,,,,,,,
4,http://purl.org/pan-science/PaNET/PaNET00004,defined by functional dependence,,,A technique defined by its functional dependence,,owl:Class,subclass,photon and neutron technique,,,,,,,,,
5,http://purl.org/pan-science/PaNET/PaNET00005,defined by purpose,,,A technique defined by its goal or purpose,,owl:Class,subclass,photon and neutron technique,,,,,,,,,
,,,,,,,,,,,,,,,,,,
100,http://purl.org/pan-science/PaNET/PaNET00100,photon probe,,,,,owl:Class,subclass,defined by experimental probe,,,,,,,,,
101,http://purl.org/pan-science/PaNET/PaNET00101,neutron probe,,,,,owl:Class,subclass,defined by experimental probe,,,,,,,,,
102,http://purl.org/pan-science/PaNET/PaNET00102,muon probe,,,,,owl:Class,subclass,defined by experimental probe,,,,,,,,,
103,http://purl.org/pan-science/PaNET/PaNET00103,solid probe,,,,,owl:Class,subclass,defined by experimental probe,,,,,,,,,
104,http://purl.org/pan-science/PaNET/PaNET00104,scanning probe,,,,,owl:Class,subclass,defined by experimental probe,,,,,,,,,
105,http://purl.org/pan-science/PaNET/PaNET00105,pulsed probe,,,A technique for which a pulsed probe is essential,,owl:Class,subclass,defined by experimental probe,,,,,,,,,
106,http://purl.org/pan-science/PaNET/PaNET00106,microfocussed probe,,,,,owl:Class,subclass,defined by experimental probe,,,,,,,,,
,,,,,,,,,,,,,,,,,,
200,http://purl.org/pan-science/PaNET/PaNET00200,scattering technique,,,Any phenomenon where a particle of the same type as the probe is emitted,,owl:Class,subclass,defined by experimental physical process,,,,,,,,,
201,http://purl.org/pan-science/PaNET/PaNET00201,emission technique,,,Independent of probe; classed also as scattering if the probe and emitted particles are of the same type; disjoint with elastic scattering,,owl:Class,subclass,defined by experimental physical process,,,,,,,,,
202,http://purl.org/pan-science/PaNET/PaNET00202,absorption technique,,,,,owl:Class,subclass,defined by experimental physical process,,,,,,,,,
203,http://purl.org/pan-science/PaNET/PaNET00203,propagation technique,forward scattering technique,,,,owl:Class,subclass,defined by experimental physical process,,,,,,,,,
204,http://purl.org/pan-science/PaNET/PaNET00204,refraction technique,,,,https://en.wikipedia.org/wiki/Refraction,owl:Class,subclass,defined by experimental physical process,,,,,,,,,
205,http://purl.org/pan-science/PaNET/PaNET00205,reflection technique,,,,https://en.wikipedia.org/wiki/Reflection_(physics),owl:Class,subclass,defined by experimental physical process,,,,,,,,,
206,http://purl.org/pan-science/PaNET/PaNET00206,resonance phenomenon,,,,,owl:Class,subclass,defined by experimental physical process,,,,,,,,,
207,http://purl.org/pan-science/PaNET/PaNET00207,magnetism technique,,,,,owl:Class,subclass,defined by experimental physical process,,,,,,,,,
208,http://purl.org/pan-science/PaNET/PaNET00208,dispersive technique,,,,,owl:Class,subclass,defined by experimental physical process,,,,,,,,,
209,http://purl.org/pan-science/PaNET/PaNET00209,interferometry technique,,,,,owl:Class,subclass,defined by experimental physical process,,,,,,,,,
210,http://purl.org/pan-science/PaNET/PaNET00210,force measurement,,,,,owl:Class,subclass,defined by experimental physical process,,,,,,,,,
211,http://purl.org/pan-science/PaNET/PaNET00211,nonlinear interaction,,,,,owl:Class,subclass,defined by experimental physical process,,,,,,,,,
,,,,,,,,,,,,,,,,,,
300,http://purl.org/pan-science/PaNET/PaNET00300,versus energy,,,,,owl:Class,subclass,defined by functional dependence,,,,,,,,,
301,http://purl.org/pan-science/PaNET/PaNET00301,versus momentum transfer,,,,,owl:Class,subclass,defined by functional dependence,,,,,,,,,
302,http://purl.org/pan-science/PaNET/PaNET00302,versus polarization,,,,,owl:Class,subclass,defined by functional dependence,,,,,,,,,
303,http://purl.org/pan-science/PaNET/PaNET00303,versus position,,,,,owl:Class,subclass,defined by functional dependence,,,,,,,,,
304,http://purl.org/pan-science/PaNET/PaNET00304,versus time,,,,,owl:Class,subclass,defined by functional dependence,,,,,,,,,
305,http://purl.org/pan-science/PaNET/PaNET00305,versus emission mass,,,,,owl:Class,subclass,defined by functional dependence,,,,,,,,,
306,http://purl.org/pan-science/PaNET/PaNET00306,versus sample state,,,,,owl:Class,subclass,defined by functional dependence,,,,,,,,,
,,,,,,,,,,,,,,,,,,
400,http://purl.org/pan-science/PaNET/PaNET00400,obtain atomic structure,,,,,owl:Class,subclass,defined by purpose,,,,,,,,,
401,http://purl.org/pan-science/PaNET/PaNET00401,obtain spatial map,,,,,owl:Class,subclass,defined by purpose,,,,,,,,,
402,http://purl.org/pan-science/PaNET/PaNET00402,obtain electronic ground state properties,,,,,owl:Class,subclass,defined by purpose,,,,,,,,,
403,http://purl.org/pan-science/PaNET/PaNET00403,obtain dynamics,,,,,owl:Class,subclass,defined by purpose,,,,,,,,,
404,http://purl.org/pan-science/PaNET/PaNET00404,therapy,,,,,owl:Class,subclass,defined by purpose,,,,,,,,,
405,http://purl.org/pan-science/PaNET/PaNET00405,drug fragment binding,,,,,owl:Class,subclass,defined by purpose,,,,,,,,,
406,http://purl.org/pan-science/PaNET/PaNET00406,obtain internal field,,,,,owl:Class,subclass,defined by purpose,,,,,,,,,
407,http://purl.org/pan-science/PaNET/PaNET00407,characterize excitations,,,,,owl:Class,subclass,defined by purpose,,,,,,,,,
408,http://purl.org/pan-science/PaNET/PaNET00408,manufacturing technique,,,,,owl:Class,subclass,defined by purpose,,,,,,,,,
409,http://purl.org/pan-science/PaNET/PaNET00409,testing,,,,,owl:Class,subclass,defined by purpose,,,,,,,,,
410,http://purl.org/pan-science/PaNET/PaNET00410,medical application,,,,,owl:Class,subclass,defined by purpose,,,,,,,,,
411,http://purl.org/pan-science/PaNET/PaNET00411,chiral determination,,,,,owl:Class,subclass,defined by purpose,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1000,http://purl.org/pan-science/PaNET/PaNET01000,time of flight technique,TOF,,,,owl:Class,subclass,pulsed probe,,,,,,,,,
1001,http://purl.org/pan-science/PaNET/PaNET01001,neutron time of flight technique,,,,,owl:Class,subclass,time of flight technique,,,,,,,,,
1002,http://purl.org/pan-science/PaNET/PaNET01002,ultrafast probe,femtosecond probe,,,,owl:Class,subclass,pulsed probe,,,,,,,,,
1003,http://purl.org/pan-science/PaNET/PaNET01003,single shot technique,,,,,owl:Class,subclass,pulsed probe,,,,,,,,,
1004,http://purl.org/pan-science/PaNET/PaNET01004,nanofocussed probe,,,,,owl:Class,subclass,microfocussed probe,,,,,,,,,
1005,http://purl.org/pan-science/PaNET/PaNET01005,IR photon probe,,,,,owl:Class,subclass,photon probe,,,,,,,,,
1006,http://purl.org/pan-science/PaNET/PaNET01006,THz photon probe,,,,,owl:Class,subclass,photon probe,,,,,,,,,
1007,http://purl.org/pan-science/PaNET/PaNET01007,UV visible photon probe,,,,,owl:Class,subclass,photon probe,,,,,,,,,
1008,http://purl.org/pan-science/PaNET/PaNET01008,visible photon probe,,,,,owl:Class,subclass,UV visible photon probe,,,,,,,,,
1009,http://purl.org/pan-science/PaNET/PaNET01009,UV photon probe,,,,,owl:Class,subclass,UV visible photon probe,,,,,,,,,
1010,http://purl.org/pan-science/PaNET/PaNET01010,VUV photon probe,,,,,owl:Class,subclass,UV photon probe,,,,,,,,,
1011,http://purl.org/pan-science/PaNET/PaNET01011,EUV photon probe,,,,,owl:Class,subclass,VUV photon probe,,,,,,,,,
1012,http://purl.org/pan-science/PaNET/PaNET01012,x-ray probe,,,,,owl:Class,subclass,photon probe,,,,,,,,,
1013,http://purl.org/pan-science/PaNET/PaNET01013,hard x-ray probe,,,,,owl:Class,subclass,x-ray probe,,,,,,,,,
1014,http://purl.org/pan-science/PaNET/PaNET01014,tender x-ray probe,,,"Energy is between hard and soft x-ray, e.g. sulphur K edge",,owl:Class,subclass,x-ray probe,,,,,,,,,
1015,http://purl.org/pan-science/PaNET/PaNET01015,soft x-ray probe,,,,,owl:Class,subclass,x-ray probe,,,,,,,,,
1016,http://purl.org/pan-science/PaNET/PaNET01016,thermal neutron probe,,,,https://en.wikipedia.org/wiki/Neutron_temperature#Thermal,owl:Class,subclass,neutron probe,,,,,,,,,
1017,http://purl.org/pan-science/PaNET/PaNET01017,cold neutron probe,,,,,owl:Class,subclass,thermal neutron probe,,,,,,,,,
1018,http://purl.org/pan-science/PaNET/PaNET01018,monochromatic neutron probe,,,,,owl:Class,subclass,neutron probe,,,,,,,,,
1019,http://purl.org/pan-science/PaNET/PaNET01019,pulsed neutron TOF probe,,,,,owl:Class,subclass,neutron probe,pulsed probe,,,,,,,,
1020,http://purl.org/pan-science/PaNET/PaNET01020,elastic scattering,,,,https://en.wikipedia.org/wiki/Elastic_scattering,owl:Class,subclass,scattering technique,,,,,,,,,
1021,http://purl.org/pan-science/PaNET/PaNET01021,diffuse scattering,,,,,owl:Class,subclass,elastic scattering,,,,,,,,,
1022,http://purl.org/pan-science/PaNET/PaNET01022,diffraction,,,,https://en.wikipedia.org/wiki/Diffraction,owl:Class,subclass,elastic scattering,,,,,CHMO:0000182,https://www.wikidata.org/wiki/Q133900,,,
1023,http://purl.org/pan-science/PaNET/PaNET01023,dynamical diffraction,,,,https://en.wikipedia.org/wiki/Dynamical_theory_of_diffraction,owl:Class,subclass,diffraction,,,,,,,,,
1024,http://purl.org/pan-science/PaNET/PaNET01024,coherent diffraction,,,Probe is highly coherent over illuminated sample,,owl:Class,subclass,diffraction,,,,,,,,,
1025,http://purl.org/pan-science/PaNET/PaNET01025,reference beam,,,e.g. holography,https://en.wikipedia.org/wiki/Reference_beam,owl:Class,subclass,diffraction,,,,,,,,,
1026,http://purl.org/pan-science/PaNET/PaNET01026,atomic scale diffraction,,,essential diffracting structure(s),,owl:Class,subclass,diffraction,,,,,,,,,
1027,http://purl.org/pan-science/PaNET/PaNET01027,atomic scale diffraction 3D volume,,,,,owl:Class,subclass,atomic scale diffraction,,,,,,,,,
1028,http://purl.org/pan-science/PaNET/PaNET01028,atomic scale diffraction 3D volume 3D periodic,,,,,owl:Class,subclass,atomic scale diffraction 3D volume,,,,,,,,,
1029,http://purl.org/pan-science/PaNET/PaNET01029,single crystal diffraction,,,,,owl:Class,subclass,atomic scale diffraction 3D volume 3D periodic,,,,,,,,,
