,ID,Label,Alt Label 1,Alt Label 2,Definition,Definition Source,RDF Type,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Equivalent,Equivalent,Equivalent,Disjoint Classes,Individual,Property Assertions,Super Property,Domain,Range,Characteristic
,ID,A rdfs:label,A http://www.w3.org/2004/02/skos/core#altLabel,A http://www.w3.org/2004/02/skos/core#altLabel,A IAO:0000115,A IAO:0000119,TYPE,SC %,SC %,SC %,SC %,SC %,SC %,SC %,EC %,EC %,EC %,DC %,TI %,I 'hasTechnique',SP %,DOMAIN,RANGE,CHARACTERISTIC SPLIT=|
,,,,,,,,,,,,,,,,,,,,,,,,
ID number,,,,,,,,,,,,,,,,,,,,,,,,
1,http://purl.org/pan-science/PaNET/PaNET00001,photon and neutron technique,,,"A technique in the domain of neutron, muon and accelerator-based light sources",,owl:Class,owl:Thing,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2,http://purl.org/pan-science/PaNET/PaNET00002,defined by experimental probe,,,A technique defined by its experimental probe type,,owl:Class,,,,,,,,('definedbyprobe' some 'probe concept'),,,,,,,,,
3,http://purl.org/pan-science/PaNET/PaNET00003,defined by experimental physical process,,,A technique defined by a physical process,,owl:Class,,,,,,,,('definedbyprocess' some 'process concept'),,,,,,,,,
4,http://purl.org/pan-science/PaNET/PaNET00004,defined by functional dependence,,,A technique defined by its functional dependence,,owl:Class,,,,,,,,('definedbydependence' some 'functional dependence concept'),,,,,,,,,
5,http://purl.org/pan-science/PaNET/PaNET00005,defined by purpose,,,A technique defined by its goal or purpose,,owl:Class,,,,,,,,('supports' some 'purpose concept'),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
100,http://purl.org/pan-science/PaNET/PaNET00100,photon technique,,,,,owl:Class,,,,,,,,('definedbyprobe' some 'photon concept'),,,,,,,,,
101,http://purl.org/pan-science/PaNET/PaNET00101,neutron technique,,,,,owl:Class,,,,,,,,('definedbyprobe' some 'neutron concept'),,,,,,,,,
102,http://purl.org/pan-science/PaNET/PaNET00102,muon technique,,,,,owl:Class,,,,,,,,('definedbyprobe' some 'muon concept'),,,,,,,,,
103,http://purl.org/pan-science/PaNET/PaNET00103,solid probe technique,,,,,owl:Class,,,,,,,,('definedbyprobe' some 'solid probe concept'),,,,,,,,,
104,http://purl.org/pan-science/PaNET/PaNET00104,scanning probe technique,,,,,owl:Class,,,,,,,,('definedbyprobe' some 'scanning probe concept'),,,,,,,,,
105,http://purl.org/pan-science/PaNET/PaNET00105,pulsed probe technique,,,A technique for which a pulsed probe is essential,,owl:Class,,,,,,,,('definedbyprobe' some 'pulsed probe concept'),,,,,,,,,
106,http://purl.org/pan-science/PaNET/PaNET00106,microfocussed probe technique,,,,,owl:Class,,,,,,,,('definedbyprobe' some 'microfocussed probe concept'),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
200,http://purl.org/pan-science/PaNET/PaNET00200,scattering technique,,,Any phenomenon where a particle of the same type as the probe is emitted,,owl:Class,,,,,,,,('definedbyprocess' some 'scattering concept'),,,,,,,,,
201,http://purl.org/pan-science/PaNET/PaNET00201,emission technique,,,Independent of probe; classed also as scattering if the probe and emitted particles are of the same type; disjoint with elastic scattering,,owl:Class,,,,,,,,('definedbyprocess' some 'emission concept'),,,,,,,,,
202,http://purl.org/pan-science/PaNET/PaNET00202,absorption technique,,,,,owl:Class,,,,,,,,('definedbyprocess' some 'absorption concept'),,,,,,,,,
203,http://purl.org/pan-science/PaNET/PaNET00203,propagation technique,forward scattering technique,,,,owl:Class,,,,,,,,('definedbyprocess' some 'propagation concept'),,,,,,,,,
204,http://purl.org/pan-science/PaNET/PaNET00204,refraction technique,,,,https://en.wikipedia.org/wiki/Refraction,owl:Class,,,,,,,,('definedbyprocess' some 'refraction concept'),,,,,,,,,
205,http://purl.org/pan-science/PaNET/PaNET00205,reflection technique,,,,https://en.wikipedia.org/wiki/Reflection_(physics),owl:Class,,,,,,,,('definedbyprocess' some 'reflection concept'),,,,,,,,,
206,http://purl.org/pan-science/PaNET/PaNET00206,resonance phenomenon technique,,,,,owl:Class,,,,,,,,('definedbyprocess' some 'resonance phenomenon concept'),,,,,,,,,
207,http://purl.org/pan-science/PaNET/PaNET00207,magnetism technique,,,,,owl:Class,,,,,,,,('supports' some 'magnetism study concept'),,,,,,,,,
208,http://purl.org/pan-science/PaNET/PaNET00208,dispersive technique,,,,,owl:Class,,,,,,,,('definedbyprocess' some 'dispersion concept'),,,,,,,,,
209,http://purl.org/pan-science/PaNET/PaNET00209,interferometry technique,,,,,owl:Class,,,,,,,,('definedbyprocess' some 'interferometry concept'),,,,,,,,,
210,http://purl.org/pan-science/PaNET/PaNET00210,force measurement technique,,,,,owl:Class,,,,,,,,('definedbyprocess' some 'force measurement concept'),,,,,,,,,
211,http://purl.org/pan-science/PaNET/PaNET00211,nonlinear technique,,,,,owl:Class,,,,,,,,('definedbyprocess' some 'nonlinear interaction concept'),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
300,http://purl.org/pan-science/PaNET/PaNET00300,versus energy technique,,,,,owl:Class,,,,,,,,('definedbydependence' some 'energy concept'),,,,,,,,,
301,http://purl.org/pan-science/PaNET/PaNET00301,versus momentum transfer technique,,,,,owl:Class,,,,,,,,('definedbydependence' some 'momentum transfer concept'),,,,,,,,,
302,http://purl.org/pan-science/PaNET/PaNET00302,versus polarization technique,,,,,owl:Class,,,,,,,,('definedbydependence' some 'polarization concept'),,,,,,,,,
303,http://purl.org/pan-science/PaNET/PaNET00303,versus position technique,,,,,owl:Class,,,,,,,,('definedbydependence' some 'position concept'),,,,,,,,,
304,http://purl.org/pan-science/PaNET/PaNET00304,versus time technique,,,,,owl:Class,,,,,,,,('definedbydependence' some 'time concept'),,,,,,,,,
305,http://purl.org/pan-science/PaNET/PaNET00305,versus emission mass technique,,,,,owl:Class,,,,,,,,('definedbydependence' some 'emission mass concept'),,,,,,,,,
306,http://purl.org/pan-science/PaNET/PaNET00306,versus sample state technique,,,,,owl:Class,,,,,,,,('definedbydependence' some 'sample state concept'),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
400,http://purl.org/pan-science/PaNET/PaNET00400,atomic structure technique,,,,,owl:Class,,,,,,,,('supports' some 'obtain atomic structure concept'),,,,,,,,,
401,http://purl.org/pan-science/PaNET/PaNET00401,spatial map technique,,,,,owl:Class,,,,,,,,('supports' some 'obtain spatial map concept'),,,,,,,,,
402,http://purl.org/pan-science/PaNET/PaNET00402,electronic ground state properties technique,,,,,owl:Class,,,,,,,,('supports' some 'obtain electronic ground state properties concept'),,,,,,,,,
403,http://purl.org/pan-science/PaNET/PaNET00403,dynamics technique,,,,,owl:Class,,,,,,,,('supports' some 'obtain dynamics concept'),,,,,,,,,
404,http://purl.org/pan-science/PaNET/PaNET00404,therapeutic technique,,,,,owl:Class,,,,,,,,('supports' some 'therapy concept'),,,,,,,,,
405,http://purl.org/pan-science/PaNET/PaNET00405,drug fragment binding technique,,,,,owl:Class,,,,,,,,('supports' some 'drug fragment binding concept'),,,,,,,,,
406,http://purl.org/pan-science/PaNET/PaNET00406,internal field technique,,,,,owl:Class,,,,,,,,('supports' some 'obtain internal field concept'),,,,,,,,,
407,http://purl.org/pan-science/PaNET/PaNET00407,excitations technique,,,,,owl:Class,,,,,,,,('supports' some 'characterize excitations concept'),,,,,,,,,
408,http://purl.org/pan-science/PaNET/PaNET00408,manufacturing technique,,,,,owl:Class,,,,,,,,('supports' some 'manufacturing concept'),,,,,,,,,
409,http://purl.org/pan-science/PaNET/PaNET00409,testing technique,,,,,owl:Class,,,,,,,,('supports' some 'testing concept'),,,,,,,,,
410,http://purl.org/pan-science/PaNET/PaNET00410,medical technique,,,,,owl:Class,,,,,,,,('supports' some 'medical application concept'),,,,,,,,,
411,http://purl.org/pan-science/PaNET/PaNET00411,chiral determination technique,,,,,owl:Class,,,,,,,,('supports' some 'chiral determination concept'),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1000,http://purl.org/pan-science/PaNET/PaNET01000,time of flight technique,TOF,,,,owl:Class,pulsed probe technique,,,,,,,,,,,,,,,,
1001,http://purl.org/pan-science/PaNET/PaNET01001,neutron time of flight technique,,,,,owl:Class,time of flight technique,neutron technique,,,,,,,,,,,,,,,
1002,http://purl.org/pan-science/PaNET/PaNET01002,ultrafast probe,femtosecond probe,,,,owl:Class,pulsed probe technique,,,,,,,,,,,,,,,,
1003,http://purl.org/pan-science/PaNET/PaNET01003,single shot technique,,,,,owl:Class,pulsed probe technique,,,,,,,,,,,,,,,,
1004,http://purl.org/pan-science/PaNET/PaNET01004,nanofocussed probe,,,,,owl:Class,microfocussed probe technique,,,,,,,,,,,,,,,,
1005,http://purl.org/pan-science/PaNET/PaNET01005,IR photon probe,,,,,owl:Class,photon technique,,,,,,,,,,,,,,,,
1006,http://purl.org/pan-science/PaNET/PaNET01006,THz photon probe,,,,,owl:Class,photon technique,,,,,,,,,,,,,,,,
1007,http://purl.org/pan-science/PaNET/PaNET01007,UV visible photon probe,,,,,owl:Class,photon technique,,,,,,,,,,,,,,,,
1008,http://purl.org/pan-science/PaNET/PaNET01008,visible photon probe,,,,,owl:Class,UV visible photon probe,,,,,,,,,,,,,,,,
1009,http://purl.org/pan-science/PaNET/PaNET01009,UV photon probe,,,,,owl:Class,UV visible photon probe,,,,,,,,,,,,,,,,
1010,http://purl.org/pan-science/PaNET/PaNET01010,VUV photon probe,,,,,owl:Class,UV photon probe,,,,,,,,,,,,,,,,
1011,http://purl.org/pan-science/PaNET/PaNET01011,EUV photon probe,,,,,owl:Class,VUV photon probe,,,,,,,,,,,,,,,,
1012,http://purl.org/pan-science/PaNET/PaNET01012,x-ray probe,,,,,owl:Class,photon technique,,,,,,,,,,,,,,,,
1013,http://purl.org/pan-science/PaNET/PaNET01013,hard x-ray probe,,,,,owl:Class,x-ray probe,,,,,,,,,,,,,,,,
1014,http://purl.org/pan-science/PaNET/PaNET01014,tender x-ray probe,,,"Energy is between hard and soft x-ray, e.g. sulphur K edge",,owl:Class,x-ray probe,,,,,,,,,,,,,,,,
