ID,Label,Alt Label 1,Alt Label 2,Definition,Definition Source,RDF Type,Class Type,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Equivalent ,Equivalent ,Individual
ID,A rdfs:label,A http://www.w3.org/2004/02/skos/core#altLabel,A http://www.w3.org/2004/02/skos/core#altLabel,A IAO:0000115,A IAO:0000119,TYPE,CLASS_TYPE,CI,CI,CI,CI,CI,EC %,EC %,TI %
http://purl.org/ExPaNDS/PaNTO#photon.and.neutron.technique,photon and neutron technique,,,"A technique in the domain of neutron, muon and accelerator-based light soures",,owl:Class,subclass,owl:Thing,,,,,,,
http://purl.org/ExPaNDS/PaNTO#defined.by.experimental.probe,defined by experimental probe,,,A technique defined by its experimental probe type,,owl:Class,subclass,photon and neutron technique,,,,,,,
http://purl.org/ExPaNDS/PaNTO#pulsed.probe,pulsed probe,,,A technique for which a pulsed probe is essential,,owl:Class,subclass,defined by experimental probe,,,,,,,
http://purl.org/ExPaNDS/PaNTO#time.of.flight.technique,time of flight technique,TOF,,,,owl:Class,subclass,pulsed probe,,,,,,,
http://purl.org/ExPaNDS/PaNTO#neutron.time.of.flight.technique,neutron time of flight technique,,,,,owl:Class,subclass,time of flight technique,,,,,,,
http://purl.org/ExPaNDS/PaNTO#ultrafast.probe,ultrafast probe,femtosecond probe,,,,owl:Class,subclass,pulsed probe,,,,,,,
http://purl.org/ExPaNDS/PaNTO#single.shot.technique,single shot technique,,,,,owl:Class,subclass,pulsed probe,,,,,,,
http://purl.org/ExPaNDS/PaNTO#microfocussed.probe,microfocussed probe,,,,,owl:Class,subclass,defined by experimental probe,,,,,,,
http://purl.org/ExPaNDS/PaNTO#nanofocussed.probe,nanofocussed probe,,,,,owl:Class,subclass,microfocussed probe,,,,,,,
http://purl.org/ExPaNDS/PaNTO#photon.probe,photon probe,,,,,owl:Class,subclass,defined by experimental probe,,,,,,,
http://purl.org/ExPaNDS/PaNTO#IR.photon.probe,IR photon probe,,,,,owl:Class,subclass,photon probe,,,,,,,
http://purl.org/ExPaNDS/PaNTO#THz.photon.probe,THz photon probe,,,,,owl:Class,subclass,photon probe,,,,,,,
http://purl.org/ExPaNDS/PaNTO#UV.visible.photon.probe,UV visible photon probe,,,,,owl:Class,subclass,photon probe,,,,,,,
http://purl.org/ExPaNDS/PaNTO#visible.photon.probe,visible photon probe,,,,,owl:Class,subclass,UV visible photon probe,,,,,,,
http://purl.org/ExPaNDS/PaNTO#UV.photon.probe,UV photon probe,,,,,owl:Class,subclass,UV visible photon probe,,,,,,,
http://purl.org/ExPaNDS/PaNTO#VUV.photon.probe,VUV photon probe,,,,,owl:Class,subclass,UV photon probe,,,,,,,
