ID,Label,Definition,Definition Source,See Also,Editor,RDF Type,Class Type,Parent IRI,Domain,Range
ID,A rdfs:label,A IAO:0000115,A IAO:0000119,A rdfs:seeAlso,A IAO:0000117,TYPE,CLASS_TYPE,CI,DOMAIN,RANGE
GO:1,input source,,,,,owl:Class,subclass,,,
GO:2,electromagnetic radiation,,,,,owl:Class,subclass,input source,,
GO:3,photon,,,,,owl:Class,subclass,electromagnetic radiation,,
GO:4,infra red,,,,,owl:Class,subclass,photon,,
GO:5,UV visible,,,,,owl:Class,subclass,photon,,
GO:6,x-ray,,,,,owl:Class,subclass,photon,,
GO:7,hard x-ray,,,,,owl:Class,subclass,x-ray,,
GO:8,soft x-ray,,,,,owl:Class,subclass,x-ray,,
GO:9,neutron,,,,,owl:Class,subclass,input source,,
GO:10,thermal,,,,,owl:Class,subclass,neutron,,
GO:11,hot,,,,,owl:Class,subclass,thermal,,
GO:12,cold,,,,,owl:Class,subclass,thermal,,
GO:13,non-thermal,,,,,owl:Class,subclass,neutron,,
GO:14,muon,,,,,owl:Class,subclass,input source,,
GO:15,phenomenon,,,,,owl:Class,subclass,,,
GO:16,scattering,,,,,owl:Class,subclass,phenomenon,,
GO:17,elastic,,,,,owl:Class,subclass,scattering,,
GO:18,coherent,,,,,owl:Class,subclass,elastic,,
GO:19,reference wave,,,,,owl:Class,subclass,coherent,,
GO:20,atomic,,,,,owl:Class,subclass,coherent,,
GO:21,microscale,,,,,owl:Class,subclass,coherent,,
GO:22,2 dimensional,,,,,owl:Class,subclass,atomic,,
GO:23,3 dimensional,,,,,owl:Class,subclass,atomic,,
GO:24,period3,,,,,owl:Class,subclass,3 dimensional,,
GO:25,powder crystal,,,,,owl:Class,subclass,period3,,
GO:26,single crystal,,,,,owl:Class,subclass,period3,,
GO:27,incoherent,,,,,owl:Class,subclass,elastic,,
GO:28,inelastic,,,,,owl:Class,subclass,scattering,,
GO:29,quasielastic,,,,,owl:Class,subclass,inelastic,,
GO:30,absorbtion,,,,,owl:Class,subclass,phenomenon,,
GO:31,technique,,,,,owl:Class,subclass,,,
GO:32,neutronPowderDiffraction,A neutron powder diffraction technique,,,,owl:Class,subclass,technique,,
GO:32,neutronPowderDiffraction,A neutron powder diffraction technique,,,,owl:Class,subclass,neutron,,
GO:32,neutronPowderDiffraction,A neutron powder diffraction technique,,,,owl:Class,subclass,powder crystal,,
GO:33,xraySingleCrystalDiffraction,,"https://en.wikipedia.org/wiki/Powder_diffraction#:~:text=Powder%20diffraction%20is%20a%20scientific,for%20structural%20characterization%20of%20materials.&text=Powder%20diffraction%20stands%20in%20contrast,single%2C%20well%2Dordered%20crystal.",,,owl:Class,subclass,technique,,
GO:33,xraySingleCrystalDiffraction,,"https://en.wikipedia.org/wiki/Powder_diffraction#:~:text=Powder%20diffraction%20is%20a%20scientific,for%20structural%20characterization%20of%20materials.&text=Powder%20diffraction%20stands%20in%20contrast,single%2C%20well%2Dordered%20crystal.",,,owl:Class,subclass,x-ray,,
GO:33,xraySingleCrystalDiffraction,,"https://en.wikipedia.org/wiki/Powder_diffraction#:~:text=Powder%20diffraction%20is%20a%20scientific,for%20structural%20characterization%20of%20materials.&text=Powder%20diffraction%20stands%20in%20contrast,single%2C%20well%2Dordered%20crystal.",,,owl:Class,subclass,single crystal,,
