ID,Label,Definition,Definition Source,See Also,Editor,RDF Type,Class Type,Parent IRI,Domain,Range
ID,A rdfs:label,A IAO:0000115,A IAO:0000119,A rdfs:seeAlso,A IAO:0000117,TYPE,CLASS_TYPE,CI,DOMAIN,RANGE
GO:1,technique,,,,,owl:Class,subclass,,,
GO:2,probe,,,,,owl:Class,subclass,technique,,
GO:3,electromagnetic radiation,,,,,owl:Class,subclass,probe,,
GO:4,photon,,,,,owl:Class,subclass,electromagnetic radiation,,
GO:5,infra red,,,,,owl:Class,subclass,photon,,
GO:6,UV visible,,,,,owl:Class,subclass,photon,,
GO:7,x-ray,,,,,owl:Class,subclass,photon,,
GO:8,hard x-ray,,,,,owl:Class,subclass,x-ray,,
GO:9,soft x-ray,,,,,owl:Class,subclass,x-ray,,
GO:10,neutron,,,,,owl:Class,subclass,probe,,
GO:11,thermal,,,,,owl:Class,subclass,neutron,,
GO:12,hot,,,,,owl:Class,subclass,thermal,,
GO:13,cold,,,,,owl:Class,subclass,thermal,,
GO:14,non-thermal,,,,,owl:Class,subclass,neutron,,
GO:15,muon,,,,,owl:Class,subclass,probe,,
GO:16,phenomenon,,,,,owl:Class,subclass,technique,,
CHMO:0000200,scattering,,,,,owl:Class,subclass,phenomenon,,
GO:18,elastic,,,,,owl:Class,subclass,scattering,,
GO:19,coherent,,,,,owl:Class,subclass,elastic,,
GO:20,reference wave,,,,,owl:Class,subclass,coherent,,
GO:21,atomic,,,,,owl:Class,subclass,coherent,,
GO:22,microscale,,,,,owl:Class,subclass,coherent,,
GO:23,2 dimensional,,,,,owl:Class,subclass,atomic,,
GO:24,3 dimensional,,,,,owl:Class,subclass,atomic,,
GO:25,period3,,,,,owl:Class,subclass,3 dimensional,,
GO:26,powder crystal,,,,,owl:Class,subclass,period3,,
GO:27,single crystal,,,,,owl:Class,subclass,period3,,
GO:28,incoherent,,,,,owl:Class,subclass,elastic,,
GO:29,inelastic,,,,,owl:Class,subclass,scattering,,
GO:30,quasielastic,,,,,owl:Class,subclass,inelastic,,
GO:31,absorbtion,,,,,owl:Class,subclass,phenomenon,,
GO:32,neutronPowderDiffraction,A neutron powder diffraction technique,,,,owl:Class,subclass,neutron,,
GO:33,neutronPowderDiffraction,A neutron powder diffraction technique,,,,owl:Class,subclass,powder crystal,,
GO:34,xraySingleCrystalDiffraction,,"https://en.wikipedia.org/wiki/Powder_diffraction#:~:text=Powder%20diffraction%20is%20a%20scientific,for%20structural%20characterization%20of%20materials.&text=Powder%20diffraction%20stands%20in%20contrast,single%2C%20well%2Dordered%20crystal.",,,owl:Class,subclass,x-ray,,
GO:35,xraySingleCrystalDiffraction,,"https://en.wikipedia.org/wiki/Powder_diffraction#:~:text=Powder%20diffraction%20is%20a%20scientific,for%20structural%20characterization%20of%20materials.&text=Powder%20diffraction%20stands%20in%20contrast,single%2C%20well%2Dordered%20crystal.",,,owl:Class,subclass,single crystal,,
GO:36,period3 equivalent,,,,,owl:equivalentClass,subclass,period3,,
